,Title,Desc,Type,BodyPart,Equipment,Level
0,Partner plank band row,the partner plank band row is an abdominal exercise where two partners perform single arm planks while pulling on the opposite ends of an exercise band this technique can be done for time or reps in any ab focused workout ,Strength,Abdominals,Bands,Intermediate
1,Banded crunch isometric hold,the banded crunch isometric hold is an exercise targeting the abdominal muscles particularly the rectus abdominis or six pack muscles the band adds resistance and continuous tension to this popular exercise ,Strength,Abdominals,Bands,Intermediate
2,FYR Banded Plank Jack,the banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions having a band around the thighs forces the lower body to work harder particularly the hips and glutes the plank jack is commonly performed as part of a bodyweight circuit or as part of a dynamic warm up ,Strength,Abdominals,Bands,Intermediate
3,Banded crunch,the banded crunch is an exercise targeting the abdominal muscles particularly the rectus abdominis or six pack muscles the band adds resistance and continuous tension to this popular exercise ,Strength,Abdominals,Bands,Intermediate
4,Crunch,the crunch is a popular core exercise targeting the rectus abdominis or six pack muscles as well as the obliques it has been the centerpiece of many ab focused workouts due to both its simplicity and the intense burn and mind muscle connection it produces it can be performed for time or reps as part of the ab focused portion of any workout ,Strength,Abdominals,Bands,Intermediate
5,Decline band press sit-up,the decline band press sit up is a weighted core exercise that works the rectus abdominis or six pack muscles as well as the deep core muscles it also taxes the muscles of the shoulders and upper back sit up variations with added resistance are usually performed for moderate to high reps such as 8 12 reps per set or more as part of the core focused portion of a workout ,Strength,Abdominals,Bands,Intermediate
7,Band low-to-high twist,the band low to high twist is a core exercise targeting the upper abdominals and the obliques take care to perform it with control as rapid uncontrolled twisting can injure the spine it is usually performed for moderate to high reps at least 8 15 per side as part of the core focused portion of a workout ,Strength,Abdominals,Bands,Intermediate
8,Barbell roll-out,the barbell roll out is an abdominal exercise that utilizes a barbell in the place of an ab roller it is best performed with a barbell that has rotating collars and is considered more difficult than other ab roller variations many lifters may not be able to perform a single rep at first but once they can perform these for reps they ll be rewarded with a seriously strong core ,Strength,Abdominals,Barbell,Intermediate
9,Barbell Ab Rollout - On Knees,the barbell roll out is an abdominal exercise that utilizes a barbell in the place of an ab roller it is best performed with a barbell that has rotating collars and is considered more difficult than other ab roller variations many lifters may not be able to perform a single rep at first but once they can perform these for reps they ll be rewarded with a seriously strong core ,Strength,Abdominals,Barbell,Intermediate
10,Decline bar press sit-up,the decline bar press sit up is a weighted core exercise targeting the abdominal muscles particularly the lower abs it also challenges the shoulders and upper back to move the weight weighted sit up variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of the core focused portion of a workout ,Strength,Abdominals,Barbell,Intermediate
11,Bench barbell roll-out,the bench barbell roll out is a challenging exercise targeting the abdominals it is similar to using an ab roller but using a barbell allows for a wider grip placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body ,Strength,Abdominals,Barbell,Beginner
